name,screen_name,followers_count
Cap Kittle,CapKittle,1295
Adam Levy🍌,Roothlus,21491
Myrcene Queen,Crypto_Kush_,1258
BoredA̶p̶e̶Artist 👩🏼‍🎨💋,BoredArtist3161,1530
JJ LANΞ,jjhlane,46830
I am gmi,McApeski,1455
cyberh49.eth,cyberh49,4700
Goozy 🍌,GoozyNFT,1684
VonMises,VonMises14,11469
DKsNFTdreams,Gcg65375356,1191
cobie,CryptoCobain,422786
0n1 Force,0n1Force,10242
jimmybags,jimmybags_,1894
Lord Anthony Apealot,LordApealot,1044
Cheetah Cowboy,MetaverseWorld,2584
Mindsblade,Mindsblade,3179
BoBill.eth,bo_nft,1113
Brian (aka Dub) 🍌😼,RotoDub,2094
Christian Dittmeier,Christian_Dtmr,1261
SuperYeti,super_yeti,5648
The Pixie,The_green_Pixie,1231
Sophisticated Art Speculator,SpeculatorArt,4547
SΞRGITO Ⓜ️,sergitosergito,7149
Alpha Chad🙀,2MuchQE,1552
paarti.live,PaartiLive,1103
MCelio,MCelio5,1222
VoxoDeus,voxodeus,8348
Mr. Linus Caldwell 🐴👨🏼‍✈️🍌,LinusCaldwell5,1360
APE WILL THRIVE,CRYPTOPRISONAPE,1021
HPS,s_nh_l_m,1188
DanHenney,DanHenneyy,1064
designer,chriswallace,14286
comfydevil.eth,comfydevil,2218
taylor.wtf,TAYL0RWTF,7557
Freeze Dry Chief,freezedrychief,10804
VeeFriends,veefriends,27479
kimonohoe 🍌,kimonohoe,1055
Michael21🦇🔊,ArchMichael21,1305
Decentraland,decentraland,159000
VirtualToast.eth,ToastVirtual,2508
Aqueento,TLoftonJr,1060
karmacowboy,RasmusGroenning,2037
BEAST NODE 🍌,_BeastNode,1194
Doxia Studio 🍌,DoxiaStudio,2434
NicolaasKaas,NicolaasKaas,1163
Dieter Hofmann,DieterHofmannn,1806
Bryan Brinkman,bryanbrinkman,27612
shortsightedsheep.eth,shortsightsheep,2032
Shadowy Super Hodler,cryptoap3,1166
Anon A. Mister,anonamisterNYC,1074
GeeS24,S24Gee,1248
hicetnunc2000,hicetnunc2000,40518
technͭoͤvͨeͪins ☁️❄️☁️,GirlWhoShivers,4056
Zoopa,Cents2Sats,1177
👁☠️👁 FastEddieGloor 👁☠️👁,fasteddiegloor,1344
Not so Interesting,InterestingNft,1175
Bored Stuntin’ Ape 🍌,ApeStuntin,927
flockeet 🍌,flockeet,1183
GratefulApe.eth🍌,GratefulApe_eth,1979
RatMan 📞🏡,TheZManz33,2031
PirateCheetah.eth,pirate_cheetah,1431
DadReflΞx,dadreflex,1870
CHRIS COGΞR 🍌,_Coger,2282
berke.eth 🍌,0xBerke,1648
Galerie de Thomas.ETH,Thomas_jimmy12,1866
SupportvTurtle.eth 🐢 | 🍌👽,SupportvTurtle,1033
JRNY Crypto,JRNYcrypto,368794
Female NFTart Gallery 🖼,Female_NFT,1184
//Citypulse,citypulse88,1312
instagraffle 🍌,CrackaJacka14,997
clon,cloncast,6727
Royal Society of Players,RoyalSocietyOP,4869
mbnatz.x,mbnatz,1078
Dolo 💎🤟,DoloNFT,3844
Nies,NiesJin,1473
kryptokid.eth,Frankie64822419,1132
Karma Pocket,karmapocket,1604
PROBCAUSE,ProbCause,14745
Ethlings,ethlings,4158
CZ 🔶 Binance,cz_binance,3205478
Cryptovoxels,cryptovoxels,43838
Jacob Martin,thenftattorney,3473
Daddio.eth,DaddioEth,1193
John Kane,few,1085
⟠Palis⟠🐍,curvethots,7741
RYANT,realRYEONES,918
Pomp 🌪,APompliano,1088624
cyber.eth,cyber_eth,2050
TBALLER.eth,T_BALLER6,1332
Dogs Unchained,Dogs_Unchained,8986
Hyperspek,hyperspek,2121
Binance,binance,4792363
Andrew Wang,andrwwang,10955
YahtzΞΞFish.0x,yahtzeefish,1460
Michael Johnson | tagline.eth,MJohnson_CJ,1728
DoofyRacing.eth,Doofy_Racing,5204
Polygon,0xPolygon,593485
loquads🍌,loquats6666,1058
mrjosco 🍌,mrjosco,1608
simplehabitz.eth 🍌,simplehabitz,1445
goldswagger.eth 🍌,jakypoo182,1237
bored ape 6499,6499Ape,1216
flong.eth 🍌,flongie,2833
FREEGAS.eth,_FREEGAS_,1991
Brunksy 🍌,Brunksy,1085
Star Sailor Siblings ⭐️⚓,NFTSiblings,8211
JRArtSpace.eth,JRArtSpace_NFT,10969
mike barth,mikebarth11,1290
Marcus Ruio,MarcusRuio,967
Pringles,pringlesNFT,2447
heezy,heyoheezy,1272
TheKooj.eth,The_KOOJ,1465
Dave 🐺🍍,davepnft,2911
Stoner Cats,stonercatstv,11528
2513 🔥👁️,punk2513,2315
Marcus | direkkt.eth 🏞️,direkkt,2596
Ridnickulous,Cards_R_uss2,1528
ChrisTheDuckMan🍌,ChrisTheDuckMan,1181
Mr Trapie,MrTrapie,969
Sean Kelly,seankelly25,26137
Daryl MorΞy 🗽🏀,dmorey,291654
aaroniito,aaroniiito,1155
JoshLanger.eth 🍌,JoshLanger,1153
Benyamin | benoni.eth,ObiWanBenoni,6764
🍌🦍KiwiCollector🦍🍌,KiwiCollector,1131
Pak,muratpak,208729
Duncan 🍩,DuncanRogoff,5576
Bored KC 🍌,boredkc1,1169
Tom Sachs: Rocket Factory,tsrocketfactory,8550
Shwaz.eth,theycallmeshwaz,1410
boof,boofyBurner,994
Steph,StephSutto,10916
Wynn Lemmons,WynnLemmons,895
Ronin The Director,RoninDaCC,8677
Nick🦇🔊,nickryg,1457
wsavas.eth,wsavas,11811
Gabriel Guerra Bianchini,GGBIANCHINI,3031
Fast Food Low Effort Baby Phunks,KingShitPunks,1727
